,B,V
1313,18.391,17.866
1314,21.751,20.705
1315,22.04,21.202
1316,22.785,21.578
1317,21.684,21.139
1318,22.771,21.809
1319,23.157,21.915
1320,21.429,20.579
1321,22.565,21.708
1322,18.83,18.068
1323,19.118,18.562
1324,21.658,20.894
1325,21.29,20.434
1326,22.201,21.562
1327,20.309,19.485
1328,21.127,20.345
1329,20.468,19.82
1330,20.252,19.546
1331,20.313,19.576
1332,16.459,15.636
1333,23.087,21.421
1334,19.386,18.769
1335,19.298,18.701
1336,16.944,16.191
1337,21.351,20.471
1338,20.347,19.588
1339,20.295,19.778
1340,18.132,17.482
1341,21.881,21.181
1342,21.708,20.968
1343,22.003,21.148
1344,21.022,20.338
1345,22.47,21.673
1346,22.061,20.857
1347,19.678,18.907
1348,21.759,20.875
1349,23.062,21.843
1350,22.748,21.646
1351,19.52,19.005
1352,22.421,21.601
1353,21.813,20.828
1354,22.03,21.402
1355,20.499,19.233
1356,21.402,19.741
1357,19.333,18.733
1358,21.038,20.206
1359,19.627,18.996
1360,21.63,20.908
1361,19.972,19.273
1362,21.538,20.425
